index,Zip Code,Population,People / Sq. Mile
188,14613,"15,078","8,980.03"
189,10305,"38,450","8,962.46"
190,13203,"15,435","8,881.07"
191,11234,"86,898","8,846.37"
192,11575,"15,975","8,803.39"
193,11520,"44,026","8,753.04"
194,11362,"17,502","8,669.78"
195,14216,"23,587","8,644.17"
196,14217,"24,692","8,355.29"
197,11040,"39,157","8,296.10"
198,11553,"23,452","8,285.93"
199,11565,"9,140","8,279.74"
200,14211,"29,590","8,224.15"
201,14212,"15,364","8,191.81"
202,14605,"14,418","8,113.89"
203,10471,"23,413","8,057.39"
204,11756,"43,952","7,937.83"
205,10601,"8,991","7,936.76"
206,11363,"6,917","7,917.29"
207,11021,"19,623","7,814.84"
208,10708,"22,411","7,710.30"
209,11510,"32,346","7,662.68"
210,11570,"27,827","7,626.62"
211,11518,"11,202","7,625.48"
212,12206,"16,291","7,567.38"
213,10474,"11,354","7,487.55"
214,14608,"12,362","7,432.49"
215,10707,"9,447","7,431.76"
216,11581,"20,094","7,367.49"
217,14220,"26,550","7,277.11"
218,11726,"17,737","7,229.13"
219,11516,"7,068","7,227.73"
220,14209,"8,547","7,222.56"
221,11710,"34,463","7,180.97"
222,11507,"7,755","7,120.71"
223,10306,"55,698","7,104.18"
224,10307,"11,669","7,091.02"
225,11762,"24,471","7,036.96"
226,10312,"58,867","7,013.96"
227,14214,"21,860","6,922.39"
228,11596,"10,572","6,902.69"
229,14223,"24,094","6,870.35"
230,11757,"46,458","6,788.98"
231,11590,"42,507","6,740.76"
232,10314,"84,821","6,550.27"
233,14611,"19,774","6,548.21"
234,11598,"13,226","6,448.78"
235,10573,"36,300","6,381.76"
236,12308,"13,346","6,271.39"
237,14620,"28,094","6,222.20"
238,14609,"43,665","6,050.66"
239,14204,"10,040","5,948.37"
240,10709,"9,093","5,939.63"
241,11554,"37,458","5,935.83"
242,13210,"27,352","5,930.10"
243,11801,"39,449","5,886.96"
244,14207,"22,986","5,869.13"
245,11572,"31,241","5,811.68"
246,11552,"23,309","5,764.81"
247,11096,"7,975","5,652.90"
248,14301,"14,257","5,638.63"
249,13205,"20,592","5,613.24"
250,12209,"9,772","5,551.27"
251,13208,"21,440","5,492.83"
252,10303,"23,530","5,426.00"
253,11701,"26,379","5,418.60"
254,11783,"22,162","5,410.64"
255,14202,"4,136","5,347.45"
256,13202,"5,434","5,308.76"
257,10803,"12,124","5,235.08"
258,11703,"16,336","5,198.82"
259,14210,"16,681","5,160.82"
260,10566,"22,441","5,144.16"
261,11704,"40,114","5,132.92"
262,10710,"25,202","5,080.70"
263,11514,"5,214","5,051.58"
264,14616,"27,119","5,028.69"
265,10538,"16,780","4,903.75"
266,11422,"30,449","4,873.21"
267,14604,"1,683","4,859.79"
268,11717,"51,485","4,811.43"
269,11795,"27,127","4,796.40"
270,10927,"10,117","4,766.39"
271,11709,"7,135","4,623.98"
272,11023,"8,501","4,602.49"
273,11803,"27,767","4,592.07"
274,13207,"14,890","4,586.69"
275,11579,"5,141","4,586.12"
276,12202,"10,021","4,555.80"
277,11784,"26,411","4,538.64"
278,12305,"5,922","4,514.94"
279,12208,"21,307","4,499.43"
280,10543,"19,427","4,498.69"
281,11729,"28,280","4,452.72"
282,11693,"11,157","4,421.44"
283,10522,"10,622","4,393.12"
284,14206,"22,988","4,384.32"
285,10993,"4,263","4,336.89"
286,13204,"20,826","4,335.77"
287,10968,"2,424","4,327.38"
288,11758,"54,933","4,269.51"
289,11566,"35,606","4,208.12"
290,11789,"7,660","4,169.97"
291,10977,"49,211","4,165.50"
292,11722,"34,491","4,144.04"
293,10530,"12,453","4,100.18"
294,14226,"29,382","4,086.59"
295,11577,"12,176","4,085.05"
296,11558,"8,553","4,058.93"
297,13501,"36,076","4,053.65"
298,11714,"23,012","3,919.34"
299,13206,"16,562","3,872.20"
300,14614,926,3864.27
301,10309,"27,207","3,862.03"
302,11542,"27,693","3,851.36"
303,10923,"9,273","3,839.40"
304,11741,"27,857","3,777.43"
305,11751,"15,083","3,740.96"
306,10503,115,"3,711.09"
307,14445,"8,179","3,627.26"
308,12801,"14,374","3,620.84"
309,11548,"2,514","3,577.51"
310,11798,"15,199","3,564.91"
311,10605,"17,414","3,539.91"
312,11950,"14,583","3,510.68"
313,11731,"31,250","3,510.64"
314,10952,"31,947","3,484.57"
315,11755,"11,402","3,475.49"
316,11706,"60,460","3,435.12"
317,10960,"14,687","3,431.92"
318,11718,"3,061","3,431.70"
319,10603,"16,389","3,426.90"
320,14610,"14,534","3,424.82"
321,11720,"28,105","3,394.21"
322,11509,"2,861","3,375.95"
323,14043,"26,537","3,365.10"
324,14802,"3,954","3,323.13"
325,13219,"15,700","3,294.10"
326,11530,"26,482","3,276.11"
327,11767,"13,841","3,271.23"
328,10528,"12,312","3,238.25"
329,10804,"14,131","3,211.79"
330,11738,"16,811","3,211.46"
331,10532,"5,582","3,197.88"
332,10502,"4,935","3,153.93"
333,11793,"32,753","3,150.70"
334,10954,"23,189","3,123.73"
335,10583,"39,091","3,121.83"
336,11557,"7,966","3,112.17"
337,11776,"22,440","3,087.49"
338,11772,"41,913","3,071.46"
339,14606,"29,187","2,981.03"
340,11725,"29,412","2,979.12"
341,14150,"44,535","2,944.39"
342,12183,"2,278","2,944.20"
343,11735,"32,159","2,925.28"
344,12203,"32,866","2,913.19"
345,11796,"3,835","2,902.73"
